product_id,name,category,subcategory,cost,list_price,supplier
P0001,Eco Paper Model,Office Supplies,Paper,34.71,51.55,SUP-004
P0002,Nordic Womenswear Set,Apparel,Womenswear,25.92,51.0,SUP-026
P0003,Pro Board Game Kit,Toys & Games,Board Games,18.82,36.59,SUP-027
P0004,Classic Cosmetic Set,Beauty,Cosmetics,9.09,21.09,SUP-024
P0005,Ultra Camera Pack,Electronics,Cameras,238.34,318.32,SUP-002
P0006,Classic Coffee & Tea Pack,Grocery,Coffee & Tea,20.34,23.66,SUP-025
P0007,Ultra Printer Kit,Office Supplies,Printers,10.41,14.25,SUP-025
P0008,Nordic Printer Set,Office Supplies,Printers,27.8,44.51,SUP-026
P0009,Classic Phone Model,ELECTRONICS,Phones,187.84,268.81,SUP-019
P0010,Urban Menswear Series,Apparel,Menswear,21.67,38.09,SUP-006
P0011,Eco Menswear Kit,Apparel,Menswear,26.92,71.45,SUP-019
P0012,Classic Household Edition,Grocery,Household,7.26,10.2,SUP-027
P0013,Essential Haircare Set,Beauty,Haircare,20.06,43.97,
P0014,Nordic Outdoor Toy Collection,Toys & Games,Outdoor Toys,13.68,25.61,SUP-020
P0015,Everyday Accessorie Model,Apparel,Accessories,23.47,58.57,SUP-010
P0016,Everyday Small Appliance Line,HOME & KITCHEN,Small Appliances,79.56,124.33,SUP-029
P0017,Pro Fitnes Pack,Sports & Outdoors,Fitness,59.03,93.83,SUP-015
P0018,Pro Laptop Series,ELECTRONICS,Laptops,302.05,392.08,SUP-010
P0019,Premium Puzzle Pack,Toys & Games,Puzzles,22.43,39.94,SUP-013
P0020,Compact Skincare Model,Beauty,Skincare,7.71,14.16,SUP-010
P0021,Classic Printer Edition,Office Supplies,Printers,20.47,35.68,SUP-007
P0022,Everyday Menswear Model,Apparel,Menswear,29.36,58.2,SUP-020
P0023,Deluxe Household Collection,Grocery,Household,16.36,21.52,SUP-017
P0024,Premium Coffee & Tea Pack,Grocery,Coffee & Tea,9.54,16.33,SUP-016
P0025,Essential Printer Set,Office Supplies,Printers,27.8,42.43,SUP-016
P0026,Everyday Storage Model,Home & Kitchen,Storage,32.18,54.16,SUP-026
P0027,Premium Womenswear Set,Apparel,Womenswear,28.85,65.56,SUP-026
P0028,Classic Camera Line,Electronics,Cameras,251.5,334.1,SUP-006
P0029,Eco Storage Line,Home & Kitchen,Storage,21.59,33.73,SUP-025
P0030,Urban Fragrance Edition,Beauty,Fragrance,19.59,53.49,SUP-019
P0031,Pro Furniture Series,Office Supplies,Furniture,7.75,10.73,SUP-030
P0032,Signature Snack Edition,Grocery,Snacks,9.02,12.66,SUP-022
P0033,Compact Accessorie Kit,Apparel,Accessories,25.25,52.04,SUP-007
P0034,Everyday Accessorie Line,Apparel,Accessories,35.05,67.23,SUP-026
P0035,Nordic Team Sport Set,Sports & Outdoors,Team Sports,45.23,64.32,SUP-030
P0036,Pro Storage Collection,Home & Kitchen,Storage,93.53,144.66,SUP-003
P0037,Signature Camera Pack,Electronics,Cameras,292.88,426.86,SUP-005
P0038,Ultra Camping Kit,Sports & Outdoors,Camping,50.66,81.34,SUP-007
P0039,Eco Cookware Kit,Home & Kitchen,Cookware,33.26,60.35,SUP-015
P0040,Pro Skincare Set,Beauty,Skincare,6.37,13.56,SUP-020
P0041,Deluxe Footwear Model,Apparel,Footwear,21.74,44.4,SUP-002
P0042,Compact Puzzle Pack,Toys & Games,Puzzles,24.59,47.26,
P0043,Premium Haircare Collection,Beauty,Haircare,9.86,33.09,SUP-016
P0044,Urban Womenswear Line,Apparel,Womenswear,19.21,35.45,SUP-011
P0045,Premium Puzzle Series,Toys & Games,Puzzles,16.74,27.29,SUP-012
P0046,Nordic Figure Series, Toys & Games ,Figures,21.32,35.18,SUP-011
P0047,Ultra Womenswear Kit,Apparel,Womenswear,24.05,46.32,SUP-014
P0048,Eco Small Appliance Line,Home & Kitchen,Small Appliances,25.01,40.08,SUP-009
P0049,Essential Skincare Set,Beauty,Skincare,16.0,31.54,SUP-019
P0050,Premium Bedding Model,Home & Kitchen,Bedding,41.07,68.65,SUP-022
P0051,Nordic Small Appliance Series,Home & Kitchen,Small Appliances,46.12,67.39,SUP-004
P0052,Essential Phone Pack,Electronics,Phones,185.82,223.81,SUP-020
P0053,Nordic Writing Set,Office Supplies,Writing,15.86,23.49,SUP-023
P0054,Essential Cosmetic Collection,Beauty,Cosmetics,12.42,23.93,SUP-002
P0055,Signature Fragrance Set,Beauty,Fragrance,8.51,22.91,SUP-014
P0056,Nordic Writing Kit,Office Supplies,Writing,37.21,51.35,SUP-003
P0057,Everyday Menswear Line,Apparel,Menswear,16.72,37.37,SUP-025
P0058,Classic Fitnes Collection,Sports & Outdoors,Fitness,28.8,46.62,SUP-004
P0059,Essential Bedding Series,Home & Kitchen,Bedding,24.04,40.53,SUP-026
P0060,Essential Wearable Pack,Electronics,Wearables,401.12,523.99,SUP-008
P0061,Deluxe Skincare Pack,Beauty,Skincare,9.93,23.75,SUP-016
P0062,Essential Camping Kit,Sports & Outdoors,Camping,83.91,123.04,SUP-027
P0063,Essential Cycling Model,Sports & Outdoors,Cycling,49.53,62.32,SUP-011
P0064,Urban Printer Line,Office Supplies,Printers,27.35,33.93,SUP-012
P0065,Eco Skincare Kit,Beauty,Skincare,12.94,26.58,SUP-003
P0066,Compact Cycling Model,Sports & Outdoors,Cycling,30.89,50.81,SUP-030
P0067,Eco Cycling Series,Sports & Outdoors,Cycling,56.31,85.51,SUP-018
P0068,Nordic Menswear Series,Apparel,Menswear,16.4,28.09,SUP-012
P0069,Urban Phone Series,Electronics,Phones,689.95,872.86,SUP-011
P0070,Classic Menswear Collection,Apparel,Menswear,29.87,64.82,SUP-014
P0071,Deluxe Bedding Pack,Home & Kitchen,Bedding,84.87,132.73,SUP-029
P0072,Signature Accessorie Collection,Apparel,Accessories,16.6,33.16,SUP-027
P0073,Ultra Outdoor Toy Collection,Toys & Games,Outdoor Toys,8.83,16.62,SUP-016
P0074,Essential Bedding Series,Home & Kitchen,Bedding,66.09,109.49,SUP-009
P0075,Ultra Camera Collection,Electronics,Cameras,420.17,553.56,SUP-027
P0076,Eco Cookware Model,Home & Kitchen,Cookware,55.45,92.92,SUP-024
P0077,Premium Footwear Model,Apparel,Footwear,26.69,65.93,SUP-021
P0078,Signature Haircare Line,Beauty,Haircare,10.31,23.11,SUP-006
P0079,Everyday Fitnes Collection,Sports & Outdoors,Fitness,132.35,195.34,SUP-029
P0080,Everyday Printer Pack,OFFICE SUPPLIES,Printers,23.07,36.45,SUP-029
P0081,Pro Fragrance Model,Beauty,Fragrance,11.39,20.36,SUP-002
P0082,Premium Accessorie Series,Apparel,Accessories,18.79,45.46,SUP-002
P0083,Pro Figure Pack,TOYS & GAMES,Figures,16.66,33.51,SUP-021
P0084,Ultra Small Appliance Edition,Home & Kitchen,Small Appliances,62.63,98.89,SUP-013
P0085,Classic Laptop Edition,Electronics,Laptops,438.85,521.13,SUP-001
P0086,Everyday Laptop Line,Electronics,Laptops,192.13,219.88,SUP-013
P0087,Signature Furniture Edition,Office Supplies,Furniture,17.88,25.7,SUP-010
P0088,Ultra Footwear Collection,Apparel,Footwear,13.59,25.38,SUP-007
P0089,Eco Storage Line,Home & Kitchen,Storage,74.78,108.63,SUP-014
P0090,Essential Team Sport Collection,Sports & Outdoors,Team Sports,63.05,102.18,SUP-005
P0091,Nordic Cookware Set,Home & Kitchen,Cookware,47.35,82.58,SUP-001
P0092,Pro Skincare Series,Beauty,Skincare,3.79,10.53,SUP-018
P0093,Deluxe Menswear Collection,Apparel,Menswear,10.22,21.55,SUP-026
P0094,Deluxe Footwear Pack,Apparel,Footwear,31.53,62.78,SUP-026
P0095,Eco Womenswear Pack,Apparel,Womenswear,23.53,43.5,SUP-019
P0096,Nordic Cosmetic Edition,Beauty,Cosmetics,22.95,48.28,SUP-010
P0097,Signature Footwear Model,Apparel,Footwear,24.6,60.73,SUP-013
P0098,Eco Wearable Kit,Electronics,Wearables,384.46,506.16,SUP-011
P0099,Classic Audio Set,Electronics,Audio,253.51,295.88,SUP-022
P0100,Essential Snack Edition,Grocery,Snacks,21.76,30.02,SUP-018
P0101,Pro Coffee & Tea Series,Grocery,Coffee & Tea,14.37,17.84,SUP-006
P0102,Everyday Cosmetic Pack,Beauty,Cosmetics,6.82,16.11,SUP-001
P0103,Nordic Storage Model,Home & Kitchen,Storage,71.23,115.01,SUP-027
P0104,Urban Coffee & Tea Edition, Grocery ,Coffee & Tea,11.97,14.87,SUP-009
P0105,Classic Furniture Collection,Office Supplies,Furniture,15.3,23.2,
P0106,Urban Printer Edition,Office Supplies,Printers,24.28,38.53,SUP-007
P0107,Urban Accessorie Edition,Apparel,Accessories,26.88,50.65,SUP-017
P0108,Compact Storage Set,Home & Kitchen,Storage,49.51,91.22,SUP-018
P0109,Signature Audio Pack,Electronics,Audio,173.49,217.1,SUP-016
P0110,Classic Pantry Line,Grocery,Pantry,9.1,12.56,SUP-013
P0111,Pro Accessorie Edition,Apparel,Accessories,28.86,57.25,SUP-021
P0112,Pro Small Appliance Kit,Home & Kitchen,Small Appliances,29.89,46.06,SUP-006
P0113,Urban Accessorie Collection,Apparel,Accessories,31.57,57.43,SUP-015
P0114,Essential Cosmetic Line,Beauty,Cosmetics,12.27,29.34,SUP-016
P0115,Essential Cookware Pack,Home & Kitchen,Cookware,13.77,23.1,SUP-018
P0116,Pro Outdoor Toy Set,Toys & Games,Outdoor Toys,17.54,28.98,SUP-024
P0117,Pro Furniture Line,Office Supplies,Furniture,44.87,77.4,SUP-001
P0118,Nordic Paper Pack,Office Supplies,Paper,24.19,41.37,SUP-027
P0119,Compact Footwear Model,Apparel,Footwear,16.97,58.66,SUP-018
P0120,Compact Haircare Model,Beauty,Haircare,19.78,44.78,SUP-015
P0121,Ultra Skincare Set,Beauty,Skincare,11.84,29.36,SUP-004
P0122,Pro Haircare Series,Beauty,Haircare,18.8,35.06,SUP-029
P0123,Ultra Wearable Model,Electronics,Wearables,155.6,198.59,SUP-027
P0124,Eco Womenswear Line,Apparel,Womenswear,40.54,72.33,SUP-016
P0125,Premium Laptop Series,Electronics,Laptops,284.05,372.15,SUP-015
P0126,Nordic Fitnes Pack,Sports & Outdoors,Fitness,78.18,102.39,SUP-004
P0127,Eco Menswear Collection,Apparel,Menswear,21.91,45.06,SUP-027
P0128,Urban Bedding Collection,Home & Kitchen,Bedding,80.9,117.81,SUP-029
P0129,Classic Phone Edition,Electronics,Phones,305.26,432.8,SUP-017
P0130,Pro Haircare Line,Beauty,Haircare,6.32,13.45,SUP-017
P0131,Pro Storage Series,Home & Kitchen,Storage,49.99,78.26,SUP-026
P0132,Deluxe Snack Set,Grocery,Snacks,7.86,11.05,SUP-012
P0133,Compact Cosmetic Series,Beauty,Cosmetics,13.0,30.32,SUP-007
P0134,Nordic Footwear Kit,Apparel,Footwear,62.07,125.77,SUP-004
P0135,Eco Haircare Kit,Beauty,Haircare,8.3,17.84,SUP-013
P0136,Premium Laptop Edition,Electronics,Laptops,207.02,287.23,SUP-026
P0137,Urban Household Kit,Grocery,Household,7.48,10.56,SUP-008
P0138,Ultra Camping Series,Sports & Outdoors,Camping,60.56,86.26,SUP-027
P0139,Signature Paper Line,Office Supplies,Paper,21.8,37.78,SUP-016
P0140,Everyday Audio Collection,Electronics,Audio,265.45,342.32,SUP-004
P0141,Nordic Fitnes Edition,Sports & Outdoors,Fitness,92.68,168.15,SUP-005
P0142,Everyday Camping Set,Sports & Outdoors,Camping,38.86,59.3,SUP-001
P0143,Pro Snack Pack,Grocery,Snacks,12.3,17.91,SUP-019
P0144,Premium Fitnes Kit,Sports & Outdoors,Fitness,76.11,113.37,SUP-006
P0145,Nordic Team Sport Collection,Sports & Outdoors,Team Sports,102.75,118.25,SUP-015
P0146,Pro Bedding Model,Home & Kitchen,Bedding,65.77,95.35,SUP-002
P0147,Compact Accessorie Series,Apparel,Accessories,13.83,40.03,SUP-023
P0148,Signature Cycling Model,Sports & Outdoors,Cycling,132.31,206.04,SUP-014
P0149,Deluxe Womenswear Collection,Apparel,Womenswear,27.52,48.97,SUP-009
P0150,Classic Camera Line,Electronics,Cameras,448.13,576.06,SUP-005
P0151,Deluxe Figure Kit,Toys & Games,Figures,19.88,38.02,SUP-010
P0152,Essential Snack Kit,Grocery,Snacks,20.48,26.78,SUP-018
P0153,Premium Cookware Model,Home & Kitchen,Cookware,67.44,94.74,SUP-006
P0154,Essential Fitnes Pack,Sports & Outdoors,Fitness,72.1,117.8,SUP-014
P0155,Urban Audio Edition,Electronics,Audio,268.29,331.65,SUP-010
P0156,Nordic Haircare Line,Beauty,Haircare,22.14,64.92,SUP-013
P0157,Everyday Bedding Kit,Home & Kitchen,Bedding,66.55,108.61,SUP-028
P0158,Premium Haircare Kit,Beauty,Haircare,13.07,28.19,SUP-013
P0159,Premium Writing Collection,Office Supplies,Writing,27.3,40.77,SUP-021
P0160,Deluxe Paper Pack,Office Supplies,Paper,38.18,57.22,SUP-010
P0161,Ultra Camera Set,Electronics,Cameras,266.75,303.36,SUP-008
P0162,Essential Pantry Set,Grocery,Pantry,12.61,16.67,SUP-005
P0163,Eco Small Appliance Kit,Home & Kitchen,Small Appliances,53.86,89.62,SUP-007
P0164,Everyday Camera Model,Electronics,Cameras,118.02,147.18,SUP-019
P0165,Eco Cycling Kit,Sports & Outdoors,Cycling,58.33,99.32,SUP-030
P0166,Compact Footwear Model,Apparel,Footwear,17.91,39.73,SUP-013
